feature,importance
tfidf_，并,0.13990821038959744
句首词多样性,0.11688468888186349
tfidf_果您,0.11211432142824665
tfidf_我无,0.0661822316299777
tfidf_。它,0.053854812328770915
句长标准差,0.043668608638099904
字符多样性,0.0425102379408501
tfidf_可能会,0.0399961439854616
tfidf_。这,0.027200925706904504
tfidf_信息,0.026434859412182262
重复词元占比,0.02224150088380311
词频熵,0.018638785295715294
tfidf_通常,0.01794777482495826
单现词比例,0.017921065594847716
平均句长,0.016603382044560654
平均词频排名,0.01581744317266594
tfidf_是一,0.01536387979001655
短词元占比,0.010039108600082478
tfidf_n\n,0.009674745594781682
tfidf_，它,0.009413472203504232
tfidf_用于,0.008916511670189635
字符数,0.008681143030535602
tfidf_\n,0.0077767550641775225
tfidf_是一种,0.007379924231239525
tfidf_。在,0.006503171908327992
tfidf_帮助,0.006349586630599359
词汇丰富度,0.005696139957229542
tfidf_我无法,0.005101591409077403
tfidf_就是,0.004843434580594175
尤尔K值,0.004381975003609853
句子数,0.0041771874103155296
tfidf_能会,0.0040819666444397995
tfidf_自己,0.004073299437008049
tfidf_其他,0.0035697602934573656
tfidf_如果,0.0034750024643019437
可读性分数,0.0034483119915073887
tfidf_，不,0.00340268277922059
词元数,0.003288202710296397
tfidf_。\,0.0031975699205205707
辛普森多样性,0.0031700567758371403
tfidf_包括,0.0028225674247149835
tfidf_这些,0.0027081004905712743
的密度,0.002586659530982995
功能词占比,0.0025730247943093866
平均词长,0.0024128060017786657
tfidf_。\n,0.002406375892826041
数字密度,0.0023510301074855557
tfidf_息。,0.002305129043422142
tfidf_建议,0.0022263973724305198
tfidf_机构,0.0018909993517885406
